source_id,councilor_name,council_term,session_name,video_title,video_url,meeting_date,topic_guess,crawled_at,raw_hash
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 Jj9M3xdLGUM,https://www.youtube.com/embed/Jj9M3xdLGUM,,其他,2026-05-21T07:26:08.471650+00:00,912025931ee71c38aa1ab17e8c68b47326e12a066c5a0365fd16895bf599e2be
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 mhnpMRUCFCQ,https://www.youtube.com/embed/mhnpMRUCFCQ,,其他,2026-05-21T07:26:08.471650+00:00,546a6f52c1e54d07e560ee91cde5623d4a8acd0faf47fec610e682a0f0faf624
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 qi3SrV1EHLE,https://www.youtube.com/embed/qi3SrV1EHLE,,其他,2026-05-21T07:26:08.471650+00:00,fdc8a0044e8239ad92259044085b9678d4f0486d20e43aa03502e838570fa5f8
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 FzgryGLjqzo,https://www.youtube.com/embed/FzgryGLjqzo,,其他,2026-05-21T07:26:08.471650+00:00,b9170490d0b115c0e240e1a8255baeac35c0bf04c2153a5d6689ae7f0bc13a9e
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 5Iyxb2tqluo,https://www.youtube.com/embed/5Iyxb2tqluo,,其他,2026-05-21T07:26:08.471650+00:00,6ce484d9a01a17680f55148221fa70e04035c0706633ae4f58ad25137d278af7
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 tubVIziaam8,https://www.youtube.com/embed/tubVIziaam8,,其他,2026-05-21T07:26:08.471650+00:00,fc248bb31ec92c99201c12964c43aaefaf6a88f8a1526bab3a68af972113236d
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 kt0vtiOUhqA,https://www.youtube.com/embed/kt0vtiOUhqA,,其他,2026-05-21T07:26:08.471650+00:00,e79f52af445c5835eb92b26da0fe70a092e6d025a5934b5b703e5a4d429367a0
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 iZHo8V3TzLM,https://www.youtube.com/embed/iZHo8V3TzLM,,其他,2026-05-21T07:26:08.471650+00:00,a6f894ec6ffd586f44123f9f754bf55bf313ccbbf01e27373839e2ead84c2bbc
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 ermYJGW2nXQ,https://www.youtube.com/embed/ermYJGW2nXQ,,其他,2026-05-21T07:26:08.471650+00:00,240fffabb82c2948414f46136c9e7703e0a94fee1a52bbd310cf64694888de4f
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 kqE7IlaZq6Q,https://www.youtube.com/embed/kqE7IlaZq6Q,,其他,2026-05-21T07:26:08.471650+00:00,f9acf1e6e560ab5e8121e2cee17e87583b833287ac7c69568e65222348d19ca1
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 ERcinc1-kDY,https://www.youtube.com/embed/ERcinc1-kDY,,其他,2026-05-21T07:26:08.471650+00:00,069b8e05214fa7398ed8e8d3549cbd64b94b673d28b2768def60ad98e712f9a9
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 _vW-8cl1LiA,https://www.youtube.com/embed/_vW-8cl1LiA,,其他,2026-05-21T07:26:08.471650+00:00,872045d781597a55e48ac1f1e9881bd55102afb450a8a11c970a19ca3b0599c7
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 zV1GOY-cpgA,https://www.youtube.com/embed/zV1GOY-cpgA,,其他,2026-05-21T07:26:08.471650+00:00,4a7cb353a11f07e1a8b26ba255adbd06235adba97e3c4cc4a4c6101f40a41da5
